2016-11-01,33538.70000000
2016-11-02,27826.40000000
2016-11-03,25394.70000000
2016-11-04,29372.90000000
2016-11-05,23901.30000000
2016-11-06,6709.70000000
2016-11-07,28643.70000000
2016-11-08,33676.70000000
2016-11-09,21416.50000000
2016-11-10,18622.20000000
2016-11-11,29722.70000000
2016-11-12,23092.20000000
2016-11-13,11536.60000000
2016-11-14,23723.00000000
2016-11-15,15751.10000000
2016-11-16,16453.70000000
2016-11-17,21968.30000000
2016-11-18,24274.90000000
2016-11-19,19592.80000000
2016-11-20,19043.90000000
2016-11-21,32419.00000000
2016-11-22,23615.70000000
2016-11-23,21348.10000000
2016-11-24,25402.20000000
2016-11-25,29098.10000000
2016-11-26,28087.70000000
2016-11-27,8971.80000000
2016-11-28,8000.90000000
2016-11-29,36600.60000000
2016-11-30,32278.10000000
